time,mean_beta,mean_beta_equilibrium,mean_stimulus,mean_strain_energy,mean_sigma_xx,orientation_coherence,mean_orientation_angle_deg,mean_target_alignment
1.000000000000000000e+00,2.994036038007416578e-01,1.367466083438198809e-01,4.102103008583976584e-02,8.643369607991443354e-03,3.615923330076324937e-01,9.092439418352546987e-01,4.492592593990310235e+01,5.009565669447852976e-01
1.100000000000000089e+00,2.969819566283946055e-01,1.519506272053390006e-01,4.923152603455935999e-02,1.245313068215684292e-02,4.367296781878907685e-01,9.094232497047239905e-01,4.488013853682138432e+01,5.015457230737282446e-01
1.200000000000000178e+00,2.948227214364960713e-01,1.706059454480125803e-01,5.806817309557953111e-02,1.733081985212056586e-02,5.186830573303699010e-01,9.096751621789826991e-01,4.481548738936229626e+01,5.023766158034206342e-01
1.300000000000000044e+00,2.929733745732666650e-01,1.927145893355570738e-01,6.749125613300366311e-02,2.342183807379237537e-02,6.073466258842294963e-01,9.100145893721257595e-01,4.472777195458364474e+01,5.035031667597575922e-01
1.400000000000000133e+00,2.914807157233240686e-01,2.180983278256846680e-01,7.745874231774187157e-02,3.086640668663414092e-02,7.026009210739315725e-01,9.104552105021090913e-01,4.461285539760050511e+01,5.049790326416089270e-01
1.500000000000000000e+00,2.903881943002324939e-01,2.464069489890324260e-01,8.792652642974335686e-02,3.979644223953368587e-02,8.043121771693485522e-01,9.110082293345398430e-01,4.446691095454718834e+01,5.068547980836969336e-01
1.600000000000000089e+00,2.897333988637068591e-01,2.771461967939918836e-01,9.884868220458370436e-02,5.033260640779372436e-02,9.123333289311785776e-01,9.116812356597431277e-01,4.428665622826781600e+01,5.091753062998959356e-01
1.700000000000000178e+00,2.895459998390645384e-01,3.097206787157210095e-01,1.101777174646191571e-01,6.258158147538457616e-02,1.026502995101562954e+00,9.124773340844571923e-01,4.406954743827227361e+01,5.119774087149933095e-01
1.800000000000000044e+00,2.898463616766689954e-01,3.434843358632586607e-01,1.218648308547976983e-01,7.663361193172468777e-02,1.146645507166424549e+00,9.133946597790554289e-01,4.381391194877497242e+01,5.152883444653977296e-01
1.900000000000000133e+00,2.906449270759282610e-01,3.777903994364949503e-01,1.338601681077508931e-01,9.256035607155360667e-02,1.272573540737926612e+00,9.144263322169814412e-01,4.351900786584708669e+01,5.191248571450866045e-01
2.000000000000000000e+00,2.919423541317520687e-01,4.120340792624323512e-01,1.461130758882478453e-01,1.104130775162667083e-01,1.404092795173079500e+00,9.155608228785330205e-01,4.318501122748831733e+01,5.234930469122573982e-01
2.100000000000000089e+00,2.937302869886699863e-01,4.456838035118510510e-01,1.585723514100189080e-01,1.302212049735180788e-01,1.541000642152253075e+00,9.167826520495431231e-01,4.281294135374935905e+01,5.283888656891694291e-01
