time,mean_beta,mean_beta_equilibrium,mean_stimulus,mean_strain_energy,mean_sigma_xx,mean_target_alignment,orientation_coherence,right_reaction_x,residual_inf,total_iterations
0.000000000000000000e+00,5.038959106325007209e-01,6.077420301597346031e-01,1.138666129473006744e-01,1.392001727067189096e-02,4.801278635904818182e-01,5.327218022355117988e-01,9.421955938898177729e-01,4.544763978802236482e-01,4.673368892912921346e-08,1.390000000000000000e+02
5.000000000000000000e-01,5.268665909529980373e-01,6.099597699231442682e-01,1.145760271040945633e-01,1.468779673553947430e-02,5.090169586719830441e-01,6.354689880771071664e-01,9.592850797811547370e-01,4.817874137860566619e-01,3.935622828327156597e-08,4.600000000000000000e+01
1.000000000000000000e+00,5.452467370733020680e-01,6.130086337671888375e-01,1.154541526660207984e-01,1.590560413007810828e-02,5.544381404917384515e-01,7.194793906252940907e-01,9.722128849521370908e-01,5.247502511318314911e-01,3.386727752364634969e-08,4.500000000000000000e+01
1.500000000000000000e+00,5.602356155595862308e-01,6.151364531291216853e-01,1.159758022225405166e-01,1.741559459317841910e-02,6.102973073220570033e-01,7.948783189614095912e-01,9.821631255303902019e-01,5.776242619356962704e-01,5.622961284611205368e-08,4.500000000000000000e+01
2.000000000000000000e+00,5.723796378386915018e-01,6.151138427854587754e-01,1.158631473554051633e-01,1.894573897818303820e-02,6.667268730429348755e-01,8.595795109007543511e-01,9.891817974127848911e-01,6.310626708995697998e-01,1.043877770751100442e-07,4.500000000000000000e+01
2.500000000000000000e+00,5.818324105089823783e-01,6.131924923035154684e-01,1.152657128668583553e-01,2.024375809853728309e-02,7.145209890763314364e-01,9.105661271684954983e-01,9.937215758752871997e-01,6.763375482767244318e-01,2.599882706585173592e-07,4.500000000000000000e+01
3.000000000000000000e+00,5.887692360447498441e-01,6.106345862086118848e-01,1.145501415139395657e-01,2.118758972407739499e-02,7.492465179710824374e-01,9.466756257492363602e-01,9.964539978309552293e-01,7.092390425992718406e-01,1.863957096136237279e-08,4.500000000000000000e+01
3.500000000000000000e+00,5.936058343788656044e-01,6.084630234893988465e-01,1.139695002897051918e-01,2.179824040026277082e-02,7.717067670719646166e-01,9.697688654035173661e-01,9.980218646299205965e-01,7.305213819496436667e-01,6.387546548636269250e-08,4.300000000000000000e+01
4.000000000000000000e+00,5.968922329758755696e-01,6.069890021005471814e-01,1.135838881289275015e-01,2.216473330251456444e-02,7.851855512009673355e-01,9.834207018363375630e-01,9.988997551058090840e-01,7.432936051679754907e-01,1.102066334406071046e-07,4.400000000000000000e+01
