time,reconstructed_mean_beta,oracle_mean_beta,mean_beta_equilibrium,mean_stimulus,reconstructed_mean_strain_energy,oracle_mean_strain_energy,reconstructed_mean_sigma_xx,oracle_mean_sigma_xx,reconstructed_orientation_coherence,oracle_orientation_coherence,reconstructed_mean_orientation_angle_deg,oracle_mean_orientation_angle_deg,reconstructed_mean_target_alignment,oracle_mean_target_alignment
4.000000000000000000e+00,6.289933826247037230e-01,6.309617572444607969e-01,8.249338819103279041e-01,4.139775199920175952e-01,1.027842652286994118e+00,1.027766712344964084e+00,7.257359203840440642e+00,7.252882838318591041e+00,8.502036266279071608e-01,8.527785858856624657e-01,2.711722725273257950e+01,2.712219881616354655e+01,7.565849999955642780e-01,7.570764030911709686e-01
4.100000000000000533e+00,6.319105566122740214e-01,6.338496259518083820e-01,8.249338819103279041e-01,4.139775199920175952e-01,1.032251287273325602e+00,1.032189811619043995e+00,7.344504865116677550e+00,7.340354486907160414e+00,8.495767190372764954e-01,8.520638560409444784e-01,2.657077498310897568e+01,2.657513151579685839e+01,7.647306870949553970e-01,7.652263782603707654e-01
4.200000000000000178e+00,6.347842995373291775e-01,6.366944998954227053e-01,8.249338819103279041e-01,4.139775199920175952e-01,1.036741555893022193e+00,1.036695946478215502e+00,7.433494847089524349e+00,7.429776126647944956e+00,8.488876442348223250e-01,8.512899265741267207e-01,2.603525245652119580e+01,2.603903004237811558e+01,7.726585595876797052e-01,7.731569991625308891e-01
4.299999999999999822e+00,6.376152580041508644e-01,6.394970191839427498e-01,8.249338819103279041e-01,4.139775199920175952e-01,1.041311005370457288e+00,1.041283119508397581e+00,7.524321516278909883e+00,7.521079079458981020e+00,8.481407500006359346e-01,8.504610572201216634e-01,2.551043645319792930e+01,2.551366924174471151e+01,7.803700646944696784e-01,7.808698428254670088e-01
4.400000000000000355e+00,6.404040689903371941e-01,6.422578143960318009e-01,8.249338819103279041e-01,4.139775199920175952e-01,1.045956948802643893e+00,1.045948373466432324e+00,7.616863967997304918e+00,7.614068712861073784e+00,8.473401797311471695e-01,8.495813046029887516e-01,2.499610842331464156e+01,2.499882873700289210e+01,7.878670538737734264e-01,7.883668832851871144e-01
4.500000000000000000e+00,6.431513599901256262e-01,6.449775067222595082e-01,8.249338819103279041e-01,4.139775199920175952e-01,1.050675575962693564e+00,1.050687142953340869e+00,7.710988876275079562e+00,7.708576819077254783e+00,8.464898797615790782e-01,8.486545296838691188e-01,2.449205439052590805e+01,2.449429282553473897e+01,7.951517410076369696e-01,7.956504499328796998e-01
4.600000000000000533e+00,6.458577491555812511e-01,6.476567081048736352e-01,8.249338819103279041e-01,4.139775199920175952e-01,1.055462542581251162e+00,1.055494509056495778e+00,7.806612923276905924e+00,7.804552999932971247e+00,8.455936065835016890e-01,8.476844050855126822e-01,2.399806485708432646e+01,2.399985037803921983e+01,8.022266632069388059e-01,8.027231885088267349e-01
4.700000000000000178e+00,6.485238454356838655e-01,6.502960213754873653e-01,8.249338819103279041e-01,4.139775199920175952e-01,1.060313247545716875e+00,1.060365548594716545e+00,7.903670118742141426e+00,7.901942953573831474e+00,8.446549339413601531e-01,8.466744222789650554e-01,2.351393471056012885e+01,2.351529473958684591e+01,8.090946441613787732e-01,8.095880246631236288e-01
4.800000000000000711e+00,6.511502487133443706e-01,6.528960403907221322e-01,8.249338819103279041e-01,4.139775199920175952e-01,1.065222958553331933e+00,1.065295334883369804e+00,8.002083541758873153e+00,8.000688305222441343e+00,8.436772597943286156e-01,8.456278986203379366e-01,2.303946313217075215e+01,2.304042363266535531e+01,8.157587599505907727e-01,8.162481299947247360e-01
4.900000000000000355e+00,6.537375499403800250e-01,6.554573501658247370e-01,8.249338819103279041e-01,4.139775199920175952e-01,1.070186787336811607e+00,1.070278939018454833e+00,8.101783773608296713e+00,8.100726676275314730e+00,8.426638131320793867e-01,8.445479842276967242e-01,2.257445350672627526e+01,2.257503906219330148e+01,8.222223072258346699e-01,8.227068904739881505e-01
5.000000000000000000e+00,6.562863312704826368e-01,6.579805270063003864e-01,8.249338819103279041e-01,4.139775199920175952e-01,1.075199827244033957e+00,1.075311431845650034e+00,8.202705342139326561e+00,8.201991784919929529e+00,8.416176606350690426e-01,8.434376686900120212e-01,2.211871333419258789e+01,2.211894722247700429e+01,8.284887736666056712e-01,8.289678771493335097e-01
5.100000000000000533e+00,6.587971661902043419e-01,6.604661386375828558e-01,8.249338819103279041e-01,4.139775199920175952e-01,1.080257172432314672e+00,1.080387886693694899e+00,8.304779012428063822e+00,8.304413576547705844e+00,8.405417131717394241e-01,8.422997876018069041e-01,2.167205414287140997e+01,2.167195840608551194e+01,8.345618106129735203e-01,8.350348190355840750e-01
5.200000000000000178e+00,6.612706196479944953e-01,6.629147443327754186e-01,8.249338819103279041e-01,4.139775199920175952e-01,1.085353921608130712e+00,1.085503382913054926e+00,8.407931940172019836e+00,8.407918382373146926e+00,8.394387321266491009e-01,8.411370289186533844e-01,2.123429140419332128e+01,2.123388691461758171e+01,8.404452077722956993e-01,8.409115780798337436e-01
5.300000000000000711e+00,6.637072481813157676e-01,6.653268950384898517e-01,8.249338819103279041e-01,4.139775199920175952e-01,1.090485182547036525e+00,1.090653010229915454e+00,8.512087852708550173e+00,8.512429104749738684e+00,8.383113355549834944e-01,8.399519391300148685e-01,2.080524444911726434e+01,2.080455097133361519e+01,8.461428698979529539e-01,8.466021261000984399e-01
5.400000000000000355e+00,6.661076000418681975e-01,6.677031334988109412e-01,8.249338819103279041e-01,4.139775199920175952e-01,1.095646077385049821e+00,1.095831873900497078e+00,8.617167256047828516e+00,8.617865427697713798e+00,8.371620041601746109e-01,8.387469292471269044e-01,2.038473638612810745e+01,2.038377263562549402e+01,8.516587953377380282e-01,8.521105235923365218e-01
5.500000000000000000e+00,6.684722153189468496e-01,6.700439943774172402e-01,8.249338819103279041e-01,4.139775199920175952e-01,1.100831748650547448e+00,1.101035100630289643e+00,8.723087666267947071e+00,8.724144051129890443e+00,8.359930870924923152e-01,8.375242806046576671e-01,1.997259402082150004e+01,1.997137771929610039e+01,8.569970563503670480e-01,8.574409003025931231e-01
5.600000000000000533e+00,6.708016260609647174e-01,6.723500043778820601e-01,8.249338819103279041e-01,4.139775199920175952e-01,1.106037365987581289e+00,1.106257845206026103e+00,8.829763863538230950e+00,8.831178947184833206e+00,8.348068075674726085e-01,8.362861504758233311e-01,1.956864777706351077e+01,1.956719570462052360e+01,8.621617810900927825e-01,8.625974374628135877e-01
5.700000000000000178e+00,6.730963563951662953e-01,6.746216823621837833e-01,8.249338819103279041e-01,4.139775199920175952e-01,1.111258133506855650e+00,1.111495297774453883e+00,8.937108166922541841e+00,8.938881636959010279e+00,8.336052683039223421e-01,8.350345775014388350e-01,1.917273161971126427e+01,1.917105966416011498e+01,8.671571371615002244e-01,8.675843515912273762e-01
5.800000000000000711e+00,6.753569226455574670e-01,6.768595394674531418e-01,8.249338819103279041e-01,4.139775199920175952e-01,1.116489297688718629e+00,1.116742691690682632e+00,9.045030727975237994e+00,9.047161485781053614e+00,8.323904567820264999e-01,8.337714869340977497e-01,1.878468297887876659e+01,1.878280618230063936e+01,8.719873166491207694e-01,8.724058797609824945e-01
5.900000000000000355e+00,6.775838334490816850e-01,6.790640792209795551e-01,8.249338819103279041e-01,4.139775199920175952e-01,1.121726155753126619e+00,1.121995311849769417e+00,9.153439840987335430e+00,9.155926015001469409e+00,8.311642503227383294e-01,8.324986956992850295e-01,1.840434267573158422e+01,1.840227527848540490e+01,8.766565225294230546e-01,8.770662662438328816e-01
6.000000000000000000e+00,6.797775898700643138e-01,6.812357976535077242e-01,8.249338819103279041e-01,4.139775199920175952e-01,1.126964064404276655e+00,1.127248503408081692e+00,9.262242267578990607e+00,9.265081228091684551e+00,8.299284209902327847e-01,8.312179172757563350e-01,1.803155484979221157e+01,1.802931033211411815e+01,8.811689563759568244e-01,8.815697504390636041e-01
6.100000000000000533e+00,6.819386855129553338e-01,6.833751834108474643e-01,8.249338819103279041e-01,4.139775199920175952e-01,1.132198448852353989e+00,1.132497680795663042e+00,9.371343573175815678e+00,9.374531948667181425e+00,8.286846403196949096e-01,8.299307663979705874e-01,1.766616688773768828e+01,1.766375800907820803e+01,8.855288072718400239e-01,8.859205560014168368e-01
6.200000000000000178e+00,6.840676066333912786e-01,6.854827178638195351e-01,8.249338819103279041e-01,4.139775199920175952e-01,1.137424812011410324e+00,1.137738336917297310e+00,9.480648472760297096e+00,9.484182167881826331e+00,8.274344838731519935e-01,8.286387635837423327e-01,1.730802935366954287e+01,1.730546818990327651e+01,8.897402418473620012e-01,8.901228810854776574e-01
6.300000000000000711e+00,6.861648322476059381e-01,6.875588752165673334e-01,8.249338819103279041e-01,4.139775199920175952e-01,1.142638743770750587e+00,1.142966052438143754e+00,9.590061183163847147e+00,9.593935398493266931e+00,8.261794356264191563e-01,8.273433394906059002e-01,1.695699592083594354e+01,1.695429389946923138e+01,8.938073953641388902e-01,8.941808896277708696e-01
6.400000000000000355e+00,6.882308342402100321e-01,6.896041226132537671e-01,8.249338819103279041e-01,4.139775199920175952e-01,1.147835930237215862e+00,1.148176505049652185e+00,9.699485779067279267e+00,9.703695032781226359e+00,8.249208921905322178e-01,8.260458391046432425e-01,1.661292330478493895e+01,1.661009123827898293e+01,8.977343637709822577e-01,8.980987035916291328e-01
6.500000000000000000e+00,6.902660774703682778e-01,6.916189202431715088e-01,8.249338819103279041e-01,4.139775199920175952e-01,1.153012162847376398e+00,1.153365478612940809e+00,9.808826549813895568e+00,9.813364701418288760e+00,8.236601668712995039e-01,8.247475257657487235e-01,1.627567119792736960e+01,1.627271931524632720e+01,9.015251966603706757e-01,9.018803961037118455e-01
6.600000000000000533e+00,6.922710198763931677e-01,6.936037214442875021e-01,8.249338819103279041e-01,4.139775199920175952e-01,1.158163347251778053e+00,1.158528872079818361e+00,9.917988354114383398e+00,9.922848630351788657e+00,8.223984935708031907e-01,8.234495850334712097e-01,1.594510220548739987e+01,1.594204018197406292e+01,9.051838910581315734e-01,9.055299854148340932e-01
6.700000000000000178e+00,6.942461125787851017e-01,6.955589728052453680e-01,8.249338819103279041e-01,4.139775199920175952e-01,1.163285511877927281e+00,1.163662708096116605e+00,1.002687696973953457e+01,1.003205199275894266e+01,8.211370305348486553e-01,8.221531283977097093e-01,1.562108178281848403e+01,1.561791876849333605e+01,9.087143859825971282e-01,9.090514296214876611e-01
6.800000000000000711e+00,6.961917999817340830e-01,6.974851142658501368e-01,8.249338819103279041e-01,4.139775199920175952e-01,1.168374816084528423e+00,1.168763141197804112e+00,1.013539943535677246e+01,1.014088125318738420e+01,8.198768639504849798e-01,8.208591968386351745e-01,1.530347817406195787e+01,1.530022282043548820e+01,9.121205577130977460e-01,9.124486220880765330e-01
6.900000000000000355e+00,6.981085198731145081e-01,6.993825792160563992e-01,8.249338819103279041e-01,4.139775199920175952e-01,1.173427557826445922e+00,1.173826465517379125e+00,1.024346438176941732e+01,1.024924450108933627e+01,8.186190113978111249e-01,8.195687642402726958e-01,1.499216235212564463e+01,1.498882283760790202e+01,9.154062157111600984e-01,9.157253875134334642e-01
7.000000000000000000e+00,6.999967035229879286e-01,7.012517945934828578e-01,8.249338819103279041e-01,4.139775199920175952e-01,1.178440180757828859e+00,1.178849121926095700e+00,1.035098234996209143e+01,1.035705177109846709e+01,8.173644251603465749e-01,8.182827406622293909e-01,1.468700795995919961e+01,1.468359201394545188e+01,9.185750991411781863e-01,9.188854785886230170e-01
