time,F_11,F_12,F_21,F_22,a0_x,a0_y,fiber_angle_deg,beta,beta_equilibrium,stimulus,strain_energy,sigma_11,sigma_12,sigma_21,sigma_22
1.500000000000000000e+00,1.021066298462181887e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.793683343638805994e-01,5.027145487854655093e-01,8.644524755239155756e-01,5.982024380319975876e+01,1.015609092369838540e-01,1.374863182012401874e-01,4.169494381018008095e-02,8.693601049716281892e-03,4.257638585526145047e-01,0.000000000000000000e+00,0.000000000000000000e+00,-4.083766564531822740e-01
1.550000000000000044e+00,1.022449819559310802e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.780431086887110270e-01,5.031842538636913664e-01,8.641791519492010298e-01,5.978910689987326776e+01,1.018293419233648189e-01,1.422778128807297149e-01,4.440306300985898819e-02,9.859779851724148614e-03,4.540363351686722559e-01,0.000000000000000000e+00,0.000000000000000000e+00,-4.343167754652217938e-01
1.600000000000000089e+00,1.023872875703131680e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.766837502295026008e-01,5.037135250458861790e-01,8.638707569340724479e-01,5.975400952930135645e+01,1.021315706810079216e-01,1.474527876586635422e-01,4.718474817909884544e-02,1.113406781482861874e-02,4.831566560060051030e-01,0.000000000000000000e+00,0.000000000000000000e+00,-4.608885203763460336e-01
1.650000000000000133e+00,1.025334918278411500e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.752910801858283296e-01,5.043069861728968206e-01,8.635244430224368051e-01,5.971464063844670278e+01,1.024702083297948929e-01,1.530181669830690261e-01,5.003861751855982060e-02,1.252192865518253484e-02,5.131169464099681887e-01,0.000000000000000000e+00,0.000000000000000000e+00,-4.880730890996014537e-01
1.700000000000000178e+00,1.026835383639906896e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.738659340460382730e-01,5.049693060756643703e-01,8.631373007357879823e-01,5.967068514642043908e+01,1.028478999058566185e-01,1.589788536316330547e-01,5.296325906019691554e-02,1.402881295138769246e-02,5.439090509491479875e-01,0.000000000000000000e+00,0.000000000000000000e+00,-5.158514250463740458e-01
1.750000000000000000e+00,1.028373693329657890e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.724091606838076718e-01,5.057051671729082543e-01,8.627063717711959123e-01,5.962182587452158344e+01,1.032673073150451037e-01,1.653376173006546324e-01,5.595723177910774671e-02,1.566014457134334847e-02,5.755245313248119610e-01,0.000000000000000000e+00,0.000000000000000000e+00,-5.442042421821275955e-01
1.800000000000000044e+00,1.029949254299996175e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.709216214537179646e-01,5.065192323480586234e-01,8.622286629784081669e-01,5.956774558235728279e+01,1.037310932686166531e-01,1.720950065921469929e-01,5.901906671589254166e-02,1.742130719717627230e-02,6.079546643311820597e-01,0.000000000000000000e+00,0.000000000000000000e+00,-5.731120499368318466e-01
1.850000000000000089e+00,1.031561459142175341e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.694041892875474575e-01,5.074161104736460981e-01,8.617011609785590887e-01,5.950812908755169417e+01,1.042419046813192474e-01,1.792492868014933238e-01,6.214726810789694689e-02,1.931763097890559777e-02,6.411904398753388579e-01,0.000000000000000000e+00,0.000000000000000000e+00,-6.025551779175285505e-01
1.900000000000000133e+00,1.033209686320539333e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.678577477928943518e-01,5.084003209964264025e-01,8.611208472744871223e-01,5.944266544394491092e+01,1.048023557286811291e-01,1.867964054264752427e-01,6.534031452775071469e-02,2.135437934660533443e-02,6.752225590658723631e-01,0.000000000000000000e+00,0.000000000000000000e+00,-6.325138003726614722e-01
1.950000000000000178e+00,1.034893300412135231e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.662831903557214108e-01,5.094762580343428215e-01,8.604847136929997253e-01,5.937105015102745398e+01,1.054150107731798847e-01,1.947299867548154539e-01,6.859666002761707904e-02,2.353673600976602387e-02,7.100414323792192395e-01,0.000000000000000000e+00,0.000000000000000000e+00,-6.629679603596870807e-01
2.000000000000000000e+00,1.036611652351681512e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.646814192483526007e-01,5.106481544653341809e-01,8.597897779929395412e-01,5.929298736574504147e+01,1.060823673775446313e-01,2.030413562591090182e-01,7.191473528761033185e-02,2.586979217149565358e-02,7.456371779128340149e-01,0.000000000000000000e+00,0.000000000000000000e+00,-6.938975935698417086e-01
2.050000000000000266e+00,1.038364079681795449e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.630533447444059592e-01,5.119200465065637529e-01,8.590330994698153200e-01,5.920819208682119950e+01,1.068068396272594534e-01,2.117195948561927110e-01,7.529294876685535542e-02,2.835853398404752923e-02,7.819996197342207189e-01,0.000000000000000000e+00,0.000000000000000000e+00,-7.252825517661234400e-01
2.100000000000000089e+00,1.040149906808382374e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.613998842420904412e-01,5.132957392897932181e-01,8.582117943881595323e-01,5.911639228144004932e+01,1.075907419831031858e-01,2.207516223967421198e-01,7.872968785569661732e-02,3.100783027095710409e-02,8.191182863348656085e-01,0.000000000000000000e+00,0.000000000000000000e+00,-7.571026257929507342e-01
