model,right_reaction_x,mean_sigma_xx,std_sigma_xx,minimum_jacobian,residual_norm
raw two-family,0.417807665174,0.437732397889,0.025738873198,1.00142126042,2.06315975982e-07
regularized two-family,0.408535148986,0.428070751396,0.00699266943352,1.00169106112,1.91611152031e-07
primary only,0.424750652151,0.445072539772,0.00996420127071,1.00149032723,7.70481004309e-08
